ID,Latitude,Longitude
0,6.0,68.0
1,6.5,68.0
2,7.0,68.0
3,7.5,68.0
4,8.0,68.0
5,8.5,68.0
6,9.0,68.0
7,9.5,68.0
8,10.0,68.0
9,10.5,68.0
10,11.0,68.0
11,11.5,68.0
12,12.0,68.0
13,12.5,68.0
14,13.0,68.0
15,13.5,68.0
16,14.0,68.0
17,14.5,68.0
18,15.0,68.0
19,15.5,68.0
20,16.0,68.0
21,16.5,68.0
22,17.0,68.0
23,17.5,68.0
24,18.0,68.0
25,18.5,68.0
26,19.0,68.0
27,19.5,68.0
28,20.0,68.0
29,20.5,68.0
30,21.0,68.0
31,21.5,68.0
32,22.0,68.0
33,22.5,68.0
34,23.0,68.0
35,23.5,68.0
36,24.0,68.0
37,24.5,68.0
38,25.0,68.0
39,25.5,68.0
40,26.0,68.0
41,26.5,68.0
42,27.0,68.0
43,27.5,68.0
44,28.0,68.0
45,28.5,68.0
46,29.0,68.0
47,29.5,68.0
48,30.0,68.0
49,30.5,68.0
50,31.0,68.0
51,31.5,68.0
52,32.0,68.0
53,32.5,68.0
54,33.0,68.0
55,33.5,68.0
56,34.0,68.0
57,34.5,68.0
58,35.0,68.0
59,35.5,68.0
60,36.0,68.0
61,36.5,68.0
62,37.0,68.0
63,6.0,68.5
64,6.5,68.5
65,7.0,68.5
66,7.5,68.5
67,8.0,68.5
68,8.5,68.5
69,9.0,68.5
70,9.5,68.5
71,10.0,68.5
72,10.5,68.5
73,11.0,68.5
74,11.5,68.5
75,12.0,68.5
76,12.5,68.5
77,13.0,68.5
78,13.5,68.5
79,14.0,68.5
80,14.5,68.5
81,15.0,68.5
82,15.5,68.5
83,16.0,68.5
84,16.5,68.5
85,17.0,68.5
86,17.5,68.5
87,18.0,68.5
88,18.5,68.5
89,19.0,68.5
90,19.5,68.5
91,20.0,68.5
92,20.5,68.5
93,21.0,68.5
94,21.5,68.5
95,22.0,68.5
96,22.5,68.5
97,23.0,68.5
98,23.5,68.5
99,24.0,68.5
100,24.5,68.5
101,25.0,68.5
102,25.5,68.5
103,26.0,68.5
104,26.5,68.5
105,27.0,68.5
106,27.5,68.5
107,28.0,68.5
108,28.5,68.5
109,29.0,68.5
110,29.5,68.5
111,30.0,68.5
112,30.5,68.5
113,31.0,68.5
114,31.5,68.5
115,32.0,68.5
116,32.5,68.5
117,33.0,68.5
118,33.5,68.5
119,34.0,68.5
120,34.5,68.5
121,35.0,68.5
122,35.5,68.5
123,36.0,68.5
124,36.5,68.5
125,37.0,68.5
126,6.0,69.0
127,6.5,69.0
128,7.0,69.0
129,7.5,69.0
130,8.0,69.0
131,8.5,69.0
132,9.0,69.0
133,9.5,69.0
134,10.0,69.0
135,10.5,69.0
136,11.0,69.0
137,11.5,69.0
138,12.0,69.0
139,12.5,69.0
140,13.0,69.0
141,13.5,69.0
142,14.0,69.0
143,14.5,69.0
144,15.0,69.0
145,15.5,69.0
146,16.0,69.0
147,16.5,69.0
148,17.0,69.0
149,17.5,69.0
150,18.0,69.0
151,18.5,69.0
152,19.0,69.0
153,19.5,69.0
154,20.0,69.0
155,20.5,69.0
156,21.0,69.0
157,21.5,69.0
158,22.0,69.0
159,22.5,69.0
160,23.0,69.0
161,23.5,69.0
162,24.0,69.0
163,24.5,69.0
164,25.0,69.0
165,25.5,69.0
166,26.0,69.0
167,26.5,69.0
168,27.0,69.0
169,27.5,69.0
170,28.0,69.0
171,28.5,69.0
172,29.0,69.0
173,29.5,69.0
174,30.0,69.0
175,30.5,69.0
176,31.0,69.0
177,31.5,69.0
178,32.0,69.0
179,32.5,69.0
180,33.0,69.0
181,33.5,69.0
182,34.0,69.0
183,34.5,69.0
184,35.0,69.0
185,35.5,69.0
186,36.0,69.0
187,36.5,69.0
188,37.0,69.0
189,6.0,69.5
190,6.5,69.5
191,7.0,69.5
192,7.5,69.5
193,8.0,69.5
194,8.5,69.5
195,9.0,69.5
196,9.5,69.5
197,10.0,69.5
198,10.5,69.5
199,11.0,69.5
200,11.5,69.5
201,12.0,69.5
202,12.5,69.5
203,13.0,69.5
204,13.5,69.5
205,14.0,69.5
206,14.5,69.5
207,15.0,69.5
208,15.5,69.5
209,16.0,69.5
210,16.5,69.5
211,17.0,69.5
212,17.5,69.5
213,18.0,69.5
214,18.5,69.5
215,19.0,69.5
216,19.5,69.5
217,20.0,69.5
218,20.5,69.5
219,21.0,69.5
220,21.5,69.5
221,22.0,69.5
222,22.5,69.5
223,23.0,69.5
224,23.5,69.5
225,24.0,69.5
226,24.5,69.5
227,25.0,69.5
228,25.5,69.5
229,26.0,69.5
230,26.5,69.5
231,27.0,69.5
232,27.5,69.5
233,28.0,69.5
234,28.5,69.5
235,29.0,69.5
236,29.5,69.5
237,30.0,69.5
238,30.5,69.5
239,31.0,69.5
240,31.5,69.5
241,32.0,69.5
242,32.5,69.5
243,33.0,69.5
244,33.5,69.5
245,34.0,69.5
246,34.5,69.5
247,35.0,69.5
248,35.5,69.5
249,36.0,69.5
250,36.5,69.5
251,37.0,69.5
252,6.0,70.0
253,6.5,70.0
254,7.0,70.0
255,7.5,70.0
256,8.0,70.0
257,8.5,70.0
258,9.0,70.0
259,9.5,70.0
260,10.0,70.0
261,10.5,70.0
262,11.0,70.0
263,11.5,70.0
264,12.0,70.0
265,12.5,70.0
266,13.0,70.0
267,13.5,70.0
268,14.0,70.0
269,14.5,70.0
270,15.0,70.0
271,15.5,70.0
272,16.0,70.0
273,16.5,70.0
274,17.0,70.0
275,17.5,70.0
276,18.0,70.0
277,18.5,70.0
278,19.0,70.0
279,19.5,70.0
280,20.0,70.0
281,20.5,70.0
282,21.0,70.0
283,21.5,70.0
284,22.0,70.0
285,22.5,70.0
286,23.0,70.0
287,23.5,70.0
288,24.0,70.0
289,24.5,70.0
290,25.0,70.0
291,25.5,70.0
292,26.0,70.0
293,26.5,70.0
294,27.0,70.0
295,27.5,70.0
296,28.0,70.0
297,28.5,70.0
298,29.0,70.0
299,29.5,70.0
300,30.0,70.0
301,30.5,70.0
302,31.0,70.0
303,31.5,70.0
304,32.0,70.0
305,32.5,70.0
306,33.0,70.0
307,33.5,70.0
308,34.0,70.0
309,34.5,70.0
310,35.0,70.0
311,35.5,70.0
312,36.0,70.0
313,36.5,70.0
314,37.0,70.0
315,6.0,70.5
316,6.5,70.5
317,7.0,70.5
318,7.5,70.5
319,8.0,70.5
320,8.5,70.5
321,9.0,70.5
322,9.5,70.5
323,10.0,70.5
324,10.5,70.5
325,11.0,70.5
326,11.5,70.5
327,12.0,70.5
328,12.5,70.5
329,13.0,70.5
330,13.5,70.5
331,14.0,70.5
332,14.5,70.5
333,15.0,70.5
334,15.5,70.5
335,16.0,70.5
336,16.5,70.5
337,17.0,70.5
338,17.5,70.5
339,18.0,70.5
340,18.5,70.5
341,19.0,70.5
342,19.5,70.5
343,20.0,70.5
344,20.5,70.5
345,21.0,70.5
346,21.5,70.5
347,22.0,70.5
348,22.5,70.5
349,23.0,70.5
350,23.5,70.5
351,24.0,70.5
352,24.5,70.5
353,25.0,70.5
354,25.5,70.5
355,26.0,70.5
356,26.5,70.5
357,27.0,70.5
358,27.5,70.5
359,28.0,70.5
360,28.5,70.5
361,29.0,70.5
362,29.5,70.5
363,30.0,70.5
364,30.5,70.5
365,31.0,70.5
366,31.5,70.5
367,32.0,70.5
368,32.5,70.5
369,33.0,70.5
370,33.5,70.5
371,34.0,70.5
372,34.5,70.5
373,35.0,70.5
374,35.5,70.5
375,36.0,70.5
376,36.5,70.5
377,37.0,70.5
378,6.0,71.0
379,6.5,71.0
380,7.0,71.0
381,7.5,71.0
382,8.0,71.0
383,8.5,71.0
384,9.0,71.0
385,9.5,71.0
386,10.0,71.0
387,10.5,71.0
388,11.0,71.0
389,11.5,71.0
390,12.0,71.0
391,12.5,71.0
392,13.0,71.0
393,13.5,71.0
394,14.0,71.0
395,14.5,71.0
396,15.0,71.0
397,15.5,71.0
398,16.0,71.0
399,16.5,71.0
400,17.0,71.0
401,17.5,71.0
402,18.0,71.0
403,18.5,71.0
404,19.0,71.0
405,19.5,71.0
406,20.0,71.0
407,20.5,71.0
408,21.0,71.0
409,21.5,71.0
410,22.0,71.0
411,22.5,71.0
412,23.0,71.0
413,23.5,71.0
414,24.0,71.0
415,24.5,71.0
416,25.0,71.0
417,25.5,71.0
418,26.0,71.0
419,26.5,71.0
420,27.0,71.0
421,27.5,71.0
422,28.0,71.0
423,28.5,71.0
424,29.0,71.0
425,29.5,71.0
426,30.0,71.0
427,30.5,71.0
428,31.0,71.0
429,31.5,71.0
430,32.0,71.0
431,32.5,71.0
432,33.0,71.0
433,33.5,71.0
434,34.0,71.0
435,34.5,71.0
436,35.0,71.0
437,35.5,71.0
438,36.0,71.0
439,36.5,71.0
440,37.0,71.0
441,6.0,71.5
442,6.5,71.5
443,7.0,71.5
444,7.5,71.5
445,8.0,71.5
446,8.5,71.5
447,9.0,71.5
448,9.5,71.5
449,10.0,71.5
450,10.5,71.5
451,11.0,71.5
